GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
estore-api,com.estore.api.estoreapi.persistence,ShoppingCartFileDAO,1,95,2,2,0,24,2,6,0,6
estore-api,com.estore.api.estoreapi.persistence,InventoryFileDAO,12,444,8,38,4,82,8,30,0,15
estore-api,com.estore.api.estoreapi.persistence,RoleFileDAO,36,204,4,10,9,40,5,12,1,9
estore-api,com.estore.api.estoreapi.model,Customer,0,91,0,0,0,31,0,20,0,20
estore-api,com.estore.api.estoreapi.model,Role,0,39,0,0,0,11,0,6,0,6
estore-api,com.estore.api.estoreapi.model,ShoppingCart,0,85,0,6,0,19,0,8,0,5
estore-api,com.estore.api.estoreapi.model,Product,0,126,0,0,0,33,0,15,0,15
estore-api,com.estore.api.estoreapi.model,User,8,68,4,4,2,22,3,11,0,10
estore-api,com.estore.api.estoreapi.controller,RoleController,0,96,0,4,0,25,0,7,0,5
estore-api,com.estore.api.estoreapi.controller,UserController,29,119,2,6,7,29,2,9,1,6
estore-api,com.estore.api.estoreapi.controller,ShoppingCartController,0,167,0,10,0,39,0,12,0,7
estore-api,com.estore.api.estoreapi.controller,InventoryController,11,245,4,18,4,60,4,15,0,8
